sr17001,,,,,,17012,,,,,,17014,,,17016,
z,O3,,,,,z,O3,N2,,,P (pressure),z,,,z,O3
6.5,3.33E-08,,,,,8.8,1.53E-07,-999,,,0.28,6.5,,,12,2.09E-07
7.5,9.61E-08,,,,,9.5,2.59E-07,-999,,,0.253,7.5,,,18.3,2.47E-07
8.5,1.78E-07,,,,,10.5,2.91E-07,-999,,,0.217,8.5,,,19.5,3.19E-07
9.5,2.17E-07,,,,,11.6,3.81E-07,-999,,,0.185,9.5,,,20.9,4.70E-07
10.7,3.25E-07,,,,,12.4,4.51E-07,-999,,,0.161,10.5,,,22.4,6.69E-07
11.5,3.72E-07,,,,,13.2,6.32E-07,-999,,,0.141,11.7,,,23.7,1.00E-06
12.3,5.05E-07,,,,,14.5,8.75E-07,-999,,,0.116,12.6,,,25.1,1.15E-06
13.5,6.82E-07,,,,,15.8,1.42E-06,0.817,,,0.0949,13.2,,,27,1.52E-06
14.9,1.00E-06,,,,,16.8,1.82E-06,0.844,,,0.0814,14.5,,,28.8,1.78E-06
15.9,1.31E-06,,,,,17.9,2.25E-06,0.771,,,0.0682,15.8,,,30.6,2.18E-06
17.1,1.81E-06,,,,,19.2,2.66E-06,0.835,,,0.056,16.8,,,32.5,2.46E-06
18.4,2.07E-06,,,,,20.5,2.75E-06,0.779,,,0.0454,18,,,34.5,3.01E-06
19.8,2.69E-06,,,,,22,2.92E-06,0.83,,,0.0359,19.2,,,36.7,3.02E-06
21.4,3.00E-06,,,,,23.5,2.82E-06,0.82,,,0.0283,20.6,,,38.9,3.55E-06
23,3.12E-06,,,,,25.1,3.24E-06,0.789,,,0.0215,22,,,41,3.45E-06
24.6,3.08E-06,,,,,26.9,3.36E-06,0.847,,,0.0163,23.4,,,43.4,2.95E-06
26.5,3.22E-06,,,,,28.7,3.22E-06,0.836,,,0.0121,25,,,45.8,2.95E-06
28.6,2.99E-06,,,,,30.6,2.71E-06,0.824,,,0.00901,26.7,,,48.3,2.83E-06
30.6,2.74E-06,,,,,32.6,2.76E-06,0.804,,,0.00654,28.6,,,50.7,3.02E-06
32.8,2.42E-06,,,,,34.6,2.82E-06,0.754,,,0.00476,30.3,,,53.1,3.17E-06
35.1,2.18E-06,,,,,36.9,3.24E-06,0.801,,,0.00335,32.3,,,55.5,2.95E-06
37.5,2.09E-06,,,,,39.4,3.60E-06,0.884,,,0.00233,34.4,,,57.9,3.10E-06
40,1.46E-06,,,,,41.9,4.79E-06,-999,,,0.0016,36.6,,,60.3,3.42E-06
